,Month,Total_Ridership
0,09_2022,3499003
1,08_2022,3670753
2,07_2022,3487867
3,06_2022,3426406
4,05_2022,2936459
5,04_2022,2317140
6,03_2022,1891563
7,02_2022,1231349
8,01_2022,1043163
9,12_2021,1739662
10,11_2021,2151434
11,10_2021,3057586
12,09_2021,3264693
13,08_2021,3058694
14,07_2021,3070442
15,06_2021,3167239
16,05_2021,2718393
17,04_2021,2064165
18,03_2021,1527834
19,02_2021,648648
20,01_2021,1095346
21,12_2020,1088929
22,11_2020,1736704
23,10_2020,2248869
24,09_2020,2488225
25,08_2020,2329514
26,07_2020,2105808
27,06_2020,1882273
28,05_2020,1487890
29,04_2020,682762
30,03_2020,1068457
31,02_2020,1146830
32,01_2020,1240596
33,12_2019,955210
34,11_2019,1478708
35,10_2019,2092573
36,09_2019,2444900
37,08_2019,955210
38,07_2019,2181010
39,06_2019,2125370
40,05_2019,1924563
41,04_2019,1766094
42,03_2019,1327950
43,02_2019,943735
44,01_2019,967269
45,12_2018,1016416
46,11_2018,1260275
47,10_2018,1878433
48,09_2018,1877168
